"RID","Community","YrBorn","Sex","D_Mean","E_Mean","Inter_Mean","D_Freq","E_Freq","LDR","RLDR","SCR","KSCR","Mo_Travel","Ex_Stranger","Ex_Convo","Smartphone","Vehicle","Diversified"
121,"M",1980,"fem",6.65,4.52941176470588,7.14285714285714,11.6666666666667,9.16666666666667,1,1,1,0,2,1,4,1,1,1
122,"I",1990,"fem",6.5,4.5,6.13333333333333,14.0350877192982,10.0877192982456,3,2,0,0,1,2,2,1,1,2
123,"M",1975,"male",6.04545454545455,6.27272727272727,7.11538461538461,9.64912280701754,11.4035087719298,2,1,1,1,3,3,4,1,0,1
124,"M",1970,"male",6.45454545454545,6.84,6.36666666666667,8.33333333333333,12.5,1,1,1,0,2,1,4,1,0,1
125,"I",1965,"male",6.25,6.76,6.53125,8.90151515151515,11.5530303030303,4,2,1,0,2,1,4,1,1,1
126,"I",1975,"fem",6.31818181818182,5.73913043478261,6.40740740740741,9.45945945945946,12.1621621621622,0,0,1,0,0,1,1,1,0,1
127,"M",1975,"male",6.66666666666667,5.68181818181818,6.33333333333333,11.6228070175439,11.1842105263158,2,2,0,0,2,1,4,1,0,3
128,"M",1965,"male",6.25925925925926,6.61538461538461,6.75757575757576,9.57446808510638,11.1702127659574,4,0,1,1,0,3,3,0,0,2
129,"I",1955,"fem",6.83870967741935,6.55555555555556,7.64864864864865,10.2678571428571,9.82142857142857,1,0,0,0,0,1,1,0,0,2
130,"M",1970,"fem",6.26086956521739,6.76,6.16129032258065,8.53174603174603,12.1031746031746,3,1,1,1,1,1,4,0,0,1
131,"I",1960,"fem",6,5,6.47222222222222,12.7551020408163,11.2244897959184,3,2,1,0,5,2,3,1,0,2
